[1727016996.573586055],1.633056641,0.087402344,0.363769531,-3.632324219
[1727016996.589567314],1.633056641,0.087402344,0.363769531,-3.632324219
[1727016996.617952759],1.634521484,0.084472656,0.357666016,-3.632324219
[1727016996.721134851],1.631591797,0.078613281,0.344970703,-3.635009766
[1727016996.819987036],1.630615234,0.078369141,0.343994141,-3.635498047
[1727016996.924513740],1.616699219,0.074707031,0.336181641,-3.642333984
[1727016997.021048314],1.633056641,0.075439453,0.337890625,-3.635009766
[1727016997.122215388],1.651367188,0.081054688,0.351074219,-3.625244141
[1727016997.218415832],1.651855469,0.083251953,0.35546875,-3.624755859
[1727016997.323065499],1.654296875,0.085693359,0.360839844,-3.623046875
[1727016997.421359795],1.650146484,0.083984375,0.357421875,-3.625244141
[1727016997.520970888],1.642333984,0.086425781,0.362548828,-3.628173828
[1727016997.620858777],1.638916016,0.07421875,0.335693359,-3.632568359
[1727016997.719167758],1.644287109,0.067382813,0.319824219,-3.631835938
[1727016997.823276388],1.654541016,0.044677734,0.270263672,-3.631347656
[1727016997.921418221],1.642578125,0.034667969,0.247314453,-3.638671875
[1727016998.021474554],1.635986328,0.025390625,0.226318359,-3.643066406
[1727016998.121704573],1.638427734,0.019287109,0.213378906,-3.642822266
[1727016998.221396721],1.63671875,0.017822266,0.209716797,-3.643798828
[1727016998.320968221],1.643066406,0.018554688,0.212402344,-3.640869141
[1727016998.422525128],1.655517578,0.018798828,0.214355469,-3.635009766
[1727016998.520225017],1.657470703,0.016601563,0.209716797,-3.634277344
[1727016998.619100943],1.657226563,0.016113281,0.208740234,-3.634521484
[1727016998.723694887],1.676757813,0.010742188,0.198974609,-3.625976563
[1727016998.821130146],1.666992188,0.008544922,0.193359375,-3.630859375
[1727016998.921013072],1.650146484,0.011474609,0.197753906,-3.638427734
[1727016999.019193628],1.644287109,0.014648438,0.203857422,-3.640625
[1727016999.124340961],1.636474609,0.016357422,0.20703125,-3.644042969
[1727016999.220761461],1.632568359,0.014892578,0.203369141,-3.645996094
[1727016999.323702535],1.644042969,0.014648438,0.203613281,-3.640869141
[1727016999.418571424],1.648925781,0.015380859,0.205322266,-3.638427734
[1727016999.523668368],1.640869141,0.014648438,0.202392578,-3.642333984
[1727016999.621402405],1.641113281,0.014160156,0.201416016,-3.642333984
[1727016999.720839312],1.645263672,0.018310547,0.211669922,-3.639892578
[1727016999.828906775],1.657470703,0.021484375,0.220214844,-3.633789063
[1727016999.917858998],1.661621094,0.022216797,0.222167969,-3.631591797
[1727017000.023829960],1.65234375,0.016113281,0.208007813,-3.636962891
[1727017000.122785664],1.660400391,0.016601563,0.210205078,-3.633056641
[1727017000.220633331],1.649169922,0.016601563,0.208984375,-3.638183594
[1727017000.322295794],1.628173828,0.012451172,0.197265625,-3.648193359
[1727017000.421552182],1.614013672,0.0078125,0.184570313,-3.655273438
[1727017000.521869849],1.601318359,0.009765625,0.187255859,-3.660644531
[1727017000.622267738],1.607910156,0.013916016,0.197998047,-3.657226563
[1727017000.720712293],1.616455078,0.013427734,0.197509766,-3.653564453
[1727017000.822584849],1.62890625,0.017089844,0.207275391,-3.647460938
[1727017000.921146830],1.637451172,0.016601563,0.207275391,-3.643554688
[1727017001.021679089],1.631591797,0.014160156,0.201171875,-3.646484375
[1727017001.121217756],1.639160156,0.009765625,0.192382813,-3.643554688
[1727017001.222443089],1.640625,0.007324219,0.187255859,-3.643310547
[1727017001.321580756],1.645996094,0.005615234,0.184326172,-3.640869141
[1727017001.421264978],1.638916016,0.005126953,0.181884766,-3.644287109
[1727017001.521882126],1.623291016,0.007324219,0.185791016,-3.651123047
[1727017001.622632626],1.615722656,0.007080078,0.184082031,-3.654541016
[1727017001.721190608],1.629150391,0.010986328,0.194091797,-3.647949219
[1727017001.821458237],1.6484375,0.012451172,0.19921875,-3.639160156
[1727017001.922534256],1.650390625,0.010253906,0.194824219,-3.638427734
[1727017002.020668033],1.646728516,0.009033203,0.191650391,-3.640136719
[1727017002.122644237],1.647949219,0.009033203,0.191894531,-3.639648438
[1727017002.221403237],1.652832031,0.0078125,0.189697266,-3.637451172
[1727017002.321574033],1.665039063,0.009765625,0.195800781,-3.631591797
[1727017002.421710681],1.661865234,0.010742188,0.197021484,-3.633056641
[1727017002.521527385],1.649658203,0.011962891,0.198486328,-3.638671875
[1727017002.620878551],1.626953125,0.011962891,0.195800781,-3.648925781
[1727017002.720858051],1.625,0.010009766,0.190917969,-3.649902344
[1727017002.821568051],1.623535156,0.008300781,0.187011719,-3.650878906
[1727017002.918254959],1.626464844,0.008544922,0.188232422,-3.649658203
[1727017003.023829625],1.636230469,0.010009766,0.192626953,-3.645019531
[1727017003.120669440],1.628173828,0.010498047,0.192871094,-3.648681641
[1727017003.221991496],1.614501953,0.007568359,0.184326172,-3.655029297
[1727017003.320828958],1.604003906,0.005859375,0.178710938,-3.659912109
[1727017003.421607699],1.613037109,0.006835938,0.182617188,-3.655761719
[1727017003.520541403],1.635253906,0.009521484,0.191650391,-3.645507813
